#967411.441238368,4040.189453125,49506.296875,-21688.388671875,20143.236328125,-6176.1669921875,-20997.4296875,-8262.7021484375,29148.75390625
967411.445260337,4038.91552734375,49506.51953125,-21688.814453125,20142.51953125,-6179.45263671875,-21003.64453125,-8269.6533203125,29147.63671875
967411.449323514,4041.8212890625,49508.64453125,-21685.595703125,20145.470703125,-6174.69189453125,-20995.1953125,-8262.3671875,29155.2578125
967411.453329438,4038.669677734375,49507.2578125,-21684.611328125,20144.2421875,-6175.42919921875,-20992.982421875,-8258.3212890625,29153.111328125
967411.457313482,4043.49755859375,49513.09375,-21677.482421875,20152.310546875,-6166.28759765625,-20982.833984375,-8249.73828125,29153.447265625
967411.462055678,4042.8046875,49517.7421875,-21673.94921875,20157.787109375,-6159.91748046875,-20978.87890625,-8248.6875,29152.0625
967411.466214764,4045.240966796875,49515.0390625,-21674.6875,20156.646484375,-6161.392578125,-20982.498046875,-8253.8505859375,29153.134765625
967411.469221122,4039.072021484375,49508.6875,-21675.357421875,20155.462890625,-6158.9560546875,-20977.42578125,-8248.7099609375,29158.029296875
967411.473165051,4033.72998046875,49503.1015625,-21679.1796875,20150.74609375,-6161.45947265625,-20976.263671875,-8245.0224609375,29162.232421875
967411.477239169,4043.967041015625,49509.0703125,-21676.744140625,20152.98046875,-6159.380859375,-20974.67578125,-8239.568359375,29165.6953125
967411.48130891,4041.396484375,49509.0234375,-21676.431640625,20154.142578125,-6157.927734375,-20971.61328125,-8236.8193359375,29168.4453125
967411.485233147,4040.70361328125,49505.515625,-21678.287109375,20152.130859375,-6160.341796875,-20972.59765625,-8240.57421875,29162.298828125
967411.489973156,4036.143798828125,49501.69140625,-21682.2421875,20147.236328125,-6165.52734375,-20978.408203125,-8242.4072265625,29159.794921875
967411.494175638,4030.82421875,49502.20703125,-21683.29296875,20146.521484375,-6163.82861328125,-20977.40234375,-8238.40625,29166.791015625
967411.497153186,4036.0322265625,49507.01171875,-21681.99609375,20148.533203125,-6163.47119140625,-20979.81640625,-8240.3955078125,29161.91796875
967411.501124831,4040.770751953125,49502.9453125,-21686.154296875,20144.12890625,-6168.45556640625,-20983.9296875,-8244.0830078125,29155.078125
967411.505140236,4038.22265625,49502.69921875,-21685.818359375,20144.7109375,-6168.67919921875,-20984.64453125,-8246.0498046875,29156.15234375
967411.509230764,4038.4013671875,49501.91796875,-21686.376953125,20142.921875,-6171.9423828125,-20989.5390625,-8253.4267578125,29151.771484375
967411.513163388,4029.6396484375,49498.47265625,-21691.8984375,20137.08984375,-6178.55859375,-20998.615234375,-8259.662109375,29148.6640625
967411.517957733,4030.354736328125,49499.14453125,-21696.078125,20132.462890625,-6182.87255859375,-21002.615234375,-8262.0986328125,29147.45703125
967411.522057378,4033.595703125,49499.19140625,-21697.263671875,20132.57421875,-6182.3134765625,-20999.888671875,-8261.919921875,29146.630859375
967411.525093274,4036.188720703125,49506.23046875,-21694.37890625,20136.486328125,-6181.66552734375,-21003.46484375,-8268.7373046875,29142.78515625
967411.52906893,4035.6298828125,49503.83984375,-21694.580078125,20135.546875,-6181.576171875,-21003.419921875,-8268.3349609375,29147.390625
967411.533264847,4042.201171875,49509.1796875,-21682.51171875,20149.046875,-6168.1650390625,-20990.859375,-8257.3154296875,29153.603515625
967411.537471706,4037.90966796875,49507.6171875,-21683.78515625,20147.37109375,-6168.947265625,-20989.271484375,-8254.4765625,29151.234375
967411.541480182,4038.49072265625,49508.2421875,-21684.857421875,20145.470703125,-6171.24951171875,-20991.619140625,-8256.734375,29148.552734375
967411.545521114,4043.944580078125,49511.2578125,-21683.404296875,20146.8125,-6169.66259765625,-20991.998046875,-8260.8466796875,29145.556640625
967411.550408815,4046.582275390625,49515.91015625,-21675.15625,20155.462890625,-6157.771484375,-20975.435546875,-8246.1845703125,29154.900390625
967411.553421372,4048.571533203125,49523.28515625,-21667.267578125,20163.419921875,-6148.5625,-20963.208984375,-8231.6552734375,29162.701171875
967411.557479809,4039.563720703125,49518.16796875,-21672.318359375,20158.345703125,-6153.5693359375,-20968.439453125,-8232.7509765625,29157.224609375
967411.561450359,4040.390625,49511.015625,-21679.76171875,20150.076171875,-6164.87939453125,-20982.4765625,-8244.0390625,29154.921875
967411.565463576,4040.30126953125,49506.296875,-21683.583984375,20146.6328125,-6169.7744140625,-20991.015625,-8253.314453125,29154.095703125
967411.569489922,4029.751220703125,49502.65625,-21680.521484375,20151.169921875,-6159.89501953125,-20973.849609375,-8243.45703125,29154.140625
967411.573826603,4027.069091796875,49498.9453125,-21684.298828125,20146.744140625,-6162.84521484375,-20973.333984375,-8242.853515625,29152.93359375
967411.578478726,4028.656005859375,49492.26171875,-21692.435546875,20138.36328125,-6173.70849609375,-20986.9921875,-8250.833984375,29149.78125
967411.581470132,4038.11083984375,49495.5,-21692.390625,20138.005859375,-6175.09423828125,-20993.80859375,-8257.2265625,29149.22265625
967411.585429377,4042.737548828125,49497.109375,-21689.373046875,20140.576171875,-6173.86474609375,-20996.759765625,-8263.3505859375,29143.8359375
967411.589523916,4032.72412109375,49490.16015625,-21696.748046875,20132.595703125,-6184.951171875,-21008.13671875,-8271.978515625,29144.73046875
967411.593541874,4031.8076171875,49493.109375,-21695.943359375,20134.138671875,-6183.25244140625,-21004.8515625,-8264.826171875,29153.111328125
967411.597532117,4030.53369140625,49497.4453125,-21693.10546875,20138.02734375,-6177.66455078125,-20995.44140625,-8253.3818359375,29151.345703125
967411.602474519,4031.785400390625,49503.59375,-21689.751953125,20142.029296875,-6173.01513671875,-20989.115234375,-8249.9619140625,29152.978515625
